transaction_id,is_confirmed_fraud,fraud_type,labeled_at,label_source
TX00642,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00643,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00644,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00645,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00646,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00647,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00648,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00649,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00650,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00651,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00652,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00653,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00654,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00655,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00656,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00657,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00658,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00659,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00660,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00661,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00662,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00663,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00664,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00665,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00666,True,CARD_TESTING,2026-05-04 22:40:00,RULE
TX00667,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00668,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00669,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00670,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00671,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00672,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00673,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00674,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00675,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00676,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00677,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00678,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00679,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00680,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00681,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00682,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00683,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00684,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00685,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00686,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00687,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00688,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00689,True,CARD_TESTING,2026-05-05 15:20:00,RULE
TX00690,True,CARD_TESTING,2026-05-05 15:20:00,RULE
